indicator,country,countryiso3code,date,value,unit,obs_status,decimal
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2007,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2006,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2005,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2004,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2003,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2002,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2001,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2000,692.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1999,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1998,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1997,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1996,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1995,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1994,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1993,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1992,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1991,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1990,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1989,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1988,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1987,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1986,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1985,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1984,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1983,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1982,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1981,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1980,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1979,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1978,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1977,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1976,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1975,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1974,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1973,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1972,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1971,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1970,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1969,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1968,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1967,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1966,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1965,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1964,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1963,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1962,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1961,630.0,,,0
"{'id': 'AG.LND.PRCP.MM', 'value': 'Average precipitation in depth (mm per year)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1960,,,,0
