indicator,country,countryiso3code,date,value,unit,obs_status,decimal
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1984,,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1983,,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1982,,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1981,,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1980,,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1979,,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1978,,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1977,,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1976,,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1975,,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1974,,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1973,,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1972,,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1971,,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1970,,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1969,,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1968,,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1967,,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1966,,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1965,,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1964,,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1963,,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1962,,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1961,,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1960,,,,0
